,ID,A1,A2,A3,A4,A5,Score,source,target,source_tag,target_tag
321,4801__loneliness_17__tide_15,3,3,3,2,0,1.829419963,loneliness,tide,"('loneliness', 'NN')","('tide', 'NN')"
322,153__volumes_16__notices_19,3,3,3,2,1,1.829295602,volumes,notices,"('volumes', 'NNS')","('notices', 'NNS')"
323,959__fingers_17__trigger_16,3,3,3,2,1,1.829295602,fingers,trigger,"('fingers', 'NNS')","('trigger', 'NN')"
331,6726__pin_32__system_35,3,3,3,2,1,1.810787745,pin,system,"('pin', 'NN')","('system', 'NN')"
333,3630__despair_41__hangs_42,3,3,3,2,1,1.8075463580000002,despair,hangs,"('despair', 'NN')","('hangs', 'NNS')"
336,6340__ego-identity_8__acquisition_4,3,3,3,2,1,1.806974186,ego-identity,acquisition,"('ego-identity', 'NN')","('acquisition', 'NN')"
352,6409__science_25__encapsulation_23,3,3,3,3,1,1.80018273,science,encapsulation,"('science', 'NN')","('encapsulation', 'NN')"
353,4616__head_9__swell_10,3,3,3,3,0,1.80018273,head,swell,"('head', 'NN')","('swell', 'NN')"
354,1356__dress_24__power_19,3,3,2,2,2,1.797502955,dress,power,"('dress', 'NN')","('power', 'NN')"
367,1401__wrongs_26__redress_24,3,3,2,0,0,1.7699315930000001,wrongs,redress,"('wrongs', 'NNS')","('redress', 'NN')"
368,6633__category_33__negation_35,3,3,3,1,0,1.768810565,category,negation,"('category', 'NN')","('negation', 'NN')"
373,11558__bend_15__bloody_14,3,3,3,1,0,1.767005231,bend,bloody,"('bend', 'NN')","('bloody', 'NN')"
390,6615__articulation_8__sets_5,3,3,2,2,1,1.7353927040000001,articulation,sets,"('articulation', 'NN')","('sets', 'NNS')"
394,2830__customers_32__prisoners_30,3,3,3,3,0,1.732896095,customers,prisoners,"('customers', 'NNS')","('prisoners', 'NNS')"
400,5847__path_14__slits_12,3,3,2,1,0,1.725801097,path,slits,"('path', 'NN')","('slits', 'NNS')"
404,3471__erosion_23__liberties_26,3,3,2,2,0,1.722335828,erosion,liberties,"('erosion', 'NN')","('liberties', 'NNS')"
412,810__presences_4__float_6,3,3,3,2,1,1.7124878319999999,presences,float,"('presences', 'NNS')","('float', 'NN')"
422,1308__souls_53__cabbages_57,3,3,3,3,0,1.697434895,souls,cabbages,"('souls', 'NNS')","('cabbages', 'NNS')"
424,6650__singularization_31__force_27,3,3,2,2,1,1.6959844769999999,singularization,force,"('singularization', 'NN')","('force', 'NN')"
425,4956__jungle_21__steel_20,3,3,2,2,1,1.6959844769999999,jungle,steel,"('jungle', 'NN')","('steel', 'NN')"
426,727__re-runs_24__park_21,3,3,2,2,1,1.6959844769999999,re-runs,park,"('re-runs', 'NN')","('park', 'NN')"
428,6350__diffusion_19__condition_20,3,3,2,2,1,1.6959844769999999,diffusion,condition,"('diffusion', 'NN')","('condition', 'NN')"
429,1851__arrests_25__sweep_23,3,3,2,2,1,1.6959844769999999,arrests,sweep,"('arrests', 'NNS')","('sweep', 'NN')"
430,1503__hours_26__kinder_25,3,3,2,2,1,1.6959844769999999,hours,kinder,"('hours', 'NNS')","('kinder', 'NN')"
436,1377__archaic_31__fertility_32,3,3,3,1,1,1.6906231619999998,archaic,fertility,"('archaic', 'NN')","('fertility', 'NN')"
437,7031__campaign_9__resistance_11,3,3,2,2,2,1.69034936,campaign,resistance,"('campaign', 'NN')","('resistance', 'NN')"
440,4948__yellow_13__pools_14,3,3,3,1,1,1.68930988,yellow,pools,"('yellow', 'NN')","('pools', 'NNS')"
442,5185__reeds_33__haze_31,3,3,3,2,1,1.685742689,reeds,haze,"('reeds', 'NNS')","('haze', 'NN')"
444,4779__cut-throat_4__world_5,3,3,2,2,2,1.685393608,cut-throat,world,"('cut-throat', 'NN')","('world', 'NN')"
447,6155__cross-referencing_24__facilities_25,3,3,2,2,1,1.6840010069999998,cross-referencing,facilities,"('cross-referencing', 'NN')","('facilities', 'NNS')"
454,2527__tradition_28__frozen_26,3,3,3,2,0,1.6745056459999998,tradition,frozen,"('tradition', 'NN')","('frozen', 'NN')"
459,9561__mincemeat_11__bloody_10,3,3,3,3,1,1.671276765,mincemeat,bloody,"('mincemeat', 'NN')","('bloody', 'NN')"
460,1187__brick_11__cathedrals_12,3,3,2,2,2,1.671044444,brick,cathedrals,"('brick', 'NN')","('cathedrals', 'NNS')"
462,3505__discontent_20__forces_17,3,3,2,2,2,1.6710072969999998,discontent,forces,"('discontent', 'NN')","('forces', 'NNS')"
467,6350__condition_20__diffusion_19,3,3,3,2,0,1.66400193,condition,diffusion,"('condition', 'NN')","('diffusion', 'NN')"
470,1246__rocknroll_8__rebellion_9,3,3,3,2,1,1.654823905,rocknroll,rebellion,"('rocknroll', 'NN')","('rebellion', 'NN')"
471,1891__strategy_12__disengagement_14,3,3,2,2,2,1.652344113,strategy,disengagement,"('strategy', 'NN')","('disengagement', 'NN')"
479,2758__progress_6__sans_5,3,3,3,1,1,1.645789652,progress,sans,"('progress', 'NN')","('sans', 'NNS')"
482,2571__heinousness_23__mark_20,3,3,3,1,1,1.643864629,heinousness,mark,"('heinousness', 'NN')","('mark', 'NN')"
483,1895__phenomenon_24__marginal_21,3,3,3,1,1,1.643864629,phenomenon,marginal,"('phenomenon', 'NN')","('marginal', 'NN')"
492,1180__flues_24__gather_21,3,3,3,1,1,1.6371759890000002,flues,gather,"('flues', 'NNS')","('gather', 'NN')"
498,6922__objections_8__bitter_7,3,3,2,2,1,1.631372045,objections,bitter,"('objections', 'NNS')","('bitter', 'NN')"
506,924__moments_14__world_12,3,3,3,2,1,1.626408224,moments,world,"('moments', 'NNS')","('world', 'NN')"
507,1347__culture_18__sacrifice_12,3,3,2,2,0,1.6261247419999998,culture,sacrifice,"('culture', 'NN')","('sacrifice', 'NN')"
517,3609__opinion_23__shades_20,3,3,2,2,2,1.617892712,opinion,shades,"('opinion', 'NN')","('shades', 'NNS')"
522,2869__life_11__tides_8,3,3,2,2,2,1.611436919,life,tides,"('life', 'NN')","('tides', 'NNS')"
525,6440__science_2__starter_8,3,3,3,2,0,1.6059708769999999,science,starter,"('science', 'NN')","('starter', 'NN')"
526,1841__disobedience_6__campaign_7,3,3,3,2,0,1.6055127880000002,disobedience,campaign,"('disobedience', 'NN')","('campaign', 'NN')"
527,121__sepia-_39__view_41,3,3,2,2,1,1.6050001230000002,sepia-,view,"('sepia-', 'NN')","('view', 'NN')"
530,443__mess_18__discordant_17,3,3,3,2,1,1.604599806,mess,discordant,"('mess', 'NN')","('discordant', 'NN')"
537,5723__monomania_11__verges_9,3,3,3,2,0,1.5997332819999999,monomania,verges,"('monomania', 'NN')","('verges', 'NNS')"
551,7092__susceptibilities_5__cater_2,3,3,2,2,2,1.58751341,susceptibilities,cater,"('susceptibilities', 'NNS')","('cater', 'NN')"
555,2718__cupboard_30__bare_32,3,3,2,2,0,1.5836485180000002,cupboard,bare,"('cupboard', 'NN')","('bare', 'NN')"
558,2617__conviction_12__construct_8,3,3,3,2,0,1.581489572,conviction,construct,"('conviction', 'NN')","('construct', 'NN')"
559,1908__bring_9__roof_6,3,3,2,2,2,1.581003325,bring,roof,"('bring', 'NN')","('roof', 'NN')"
560,3625__stark_25__extent_14,3,3,3,2,1,1.5808176269999998,stark,extent,"('stark', 'NN')","('extent', 'NN')"
562,6223__effort_12__design_11,3,2,2,2,1,1.579210386,effort,design,"('effort', 'NN')","('design', 'NN')"
565,5311__fall_32__petal_35,3,3,3,3,0,1.5782484540000001,fall,petal,"('fall', 'NN')","('petal', 'NN')"
569,1270__masters_23__market_25,3,3,3,2,1,1.57630739,masters,market,"('masters', 'NNS')","('market', 'NN')"
571,980__grass_31__threadbare_30,3,3,3,2,1,1.5756527169999999,grass,threadbare,"('grass', 'NN')","('threadbare', 'NN')"
572,4733__drums_8__jungle_7,3,3,3,2,0,1.5755610759999998,drums,jungle,"('drums', 'NNS')","('jungle', 'NN')"
578,2844__cream_4__digs_2,3,3,2,2,0,1.572588261,cream,digs,"('cream', 'NN')","('digs', 'NNS')"
581,811__blurb_28__describes_29,3,3,3,1,1,1.569834129,blurb,describes,"('blurb', 'NN')","('describes', 'NNS')"
593,8437__immunity_5__bought_4,3,3,2,2,1,1.564449217,immunity,bought,"('immunity', 'NN')","('bought', 'NN')"
599,8150__stone_8__pale_5,3,3,2,2,2,1.560256209,stone,pale,"('stone', 'NN')","('pale', 'NN')"
602,6684__specificity_11__virtues_9,3,3,3,1,0,1.557214625,specificity,virtues,"('specificity', 'NN')","('virtues', 'NNS')"
608,12634__information_5__spot_3,3,3,3,2,1,1.553103296,information,spot,"('information', 'NN')","('spot', 'NN')"
613,1296__body_4__canvas_7,3,3,3,2,0,1.549237419,body,canvas,"('body', 'NN')","('canvas', 'NN')"
618,3690__introversion_8__degree_4,3,3,3,2,2,1.546919774,introversion,degree,"('introversion', 'NN')","('degree', 'NN')"
619,6885__rationality_19__stakes_20,3,3,2,2,2,1.5466521069999999,rationality,stakes,"('rationality', 'NN')","('stakes', 'NNS')"
622,1003__style_10__dictate_7,3,3,2,2,1,1.545178694,style,dictate,"('style', 'NN')","('dictate', 'NN')"
623,6636__undecidables_7__products_5,3,3,2,2,0,1.5445627419999999,undecidables,products,"('undecidables', 'NNS')","('products', 'NNS')"
631,1564__letters_5__flood_3,3,3,2,2,1,1.540685691,letters,flood,"('letters', 'NNS')","('flood', 'NN')"
636,8163__pocket_5__dug_2,3,3,2,2,1,1.535985972,pocket,dug,"('pocket', 'NN')","('dug', 'NN')"
638,6765__gainer_8__chief_7,3,3,3,1,1,1.535222144,gainer,chief,"('gainer', 'NN')","('chief', 'NN')"
639,559__rally_15__fringe_14,3,3,3,2,0,1.534582205,rally,fringe,"('rally', 'NN')","('fringe', 'NN')"
641,4622__house_32__model_33,3,3,2,2,1,1.532385612,house,model,"('house', 'NN')","('model', 'NN')"
644,6426__schools_13__control_12,3,3,2,2,0,1.52879007,schools,control,"('schools', 'NNS')","('control', 'NN')"
650,6670__match_3__incarnation_8,3,3,3,2,0,1.523038858,match,incarnation,"('match', 'NN')","('incarnation', 'NN')"
653,2573__protection_14__loss_11,3,2,2,2,1,1.5221674219999999,protection,loss,"('protection', 'NN')","('loss', 'NN')"
662,1758__defence_41__pill_39,3,3,3,1,1,1.5171688330000002,defence,pill,"('defence', 'NN')","('pill', 'NN')"
683,2742__hillside_37__sweeps_35,3,2,2,2,0,1.50957437,hillside,sweeps,"('hillside', 'NN')","('sweeps', 'NNS')"
688,7017__unity_21__foster_20,3,2,2,2,1,1.507164515,unity,foster,"('unity', 'NN')","('foster', 'NN')"
696,2744__burns_29__bridges_26,3,2,2,2,0,1.503133831,burns,bridges,"('burns', 'NNS')","('bridges', 'NNS')"
704,1394__pi??ata_11__hangs_8,3,3,2,2,1,1.497212274,pi??ata,hangs,"('pi??ata', 'NN')","('hangs', 'NNS')"
705,4847__averages_12__law_10,3,3,3,1,1,1.4966954380000002,averages,law,"('averages', 'NNS')","('law', 'NN')"
710,6603__totalization_7__law_5,3,3,3,2,0,1.4962777409999999,totalization,law,"('totalization', 'NN')","('law', 'NN')"
717,1356__metaphorical_18__power_19,3,3,2,1,1,1.49128817,metaphorical,power,"('metaphorical', 'NN')","('power', 'NN')"
719,521__vespers_10__service_8,3,3,3,1,0,1.490784061,vespers,service,"('vespers', 'NNS')","('service', 'NN')"
724,3518__sense_45__decay_49,3,3,2,2,2,1.48856884,sense,decay,"('sense', 'NN')","('decay', 'NN')"
732,3645__riots_37__depoliticize_35,3,3,2,2,1,1.48353323,riots,depoliticize,"('riots', 'NNS')","('depoliticize', 'NN')"
737,875__grounds_20__explodes_13,3,3,3,2,0,1.480389278,grounds,explodes,"('grounds', 'NNS')","('explodes', 'NNS')"
742,6200__terms_8__familiarity_10,3,3,2,2,1,1.477403759,terms,familiarity,"('terms', 'NNS')","('familiarity', 'NN')"
744,3196__interview_3__entails_4,3,3,2,2,1,1.477202189,interview,entails,"('interview', 'NN')","('entails', 'NNS')"
751,6615__history_10__articulation_8,3,3,2,2,0,1.474686301,history,articulation,"('history', 'NN')","('articulation', 'NN')"
755,3185__trinity_27__aims_30,3,3,3,1,1,1.4733912130000002,trinity,aims,"('trinity', 'NN')","('aims', 'NNS')"
758,959__summer_2__sprawl_4,3,3,2,2,1,1.471993855,summer,sprawl,"('summer', 'NN')","('sprawl', 'NNS')"
760,5006__recesses_19__probe_14,3,2,2,2,1,1.471797798,recesses,probe,"('recesses', 'NNS')","('probe', 'NN')"
765,506__pound_35__heart_34,3,3,2,1,1,1.4700246259999998,pound,heart,"('pound', 'NN')","('heart', 'NN')"
766,9003__cat_9__swing_7,3,3,3,1,0,1.469573175,cat,swing,"('cat', 'NN')","('swing', 'NN')"
772,1892__independence_13__form_10,3,2,2,2,1,1.467648386,independence,form,"('independence', 'NN')","('form', 'NN')"
780,6613__histories_25__dream-work_22,3,3,2,1,1,1.465695329,histories,dream-work,"('histories', 'NNS')","('dream-work', 'NN')"
783,6248__instructions_7__chains_5,3,2,2,2,1,1.4611623919999999,instructions,chains,"('instructions', 'NNS')","('chains', 'NNS')"
786,194__yardstick_26__circuit_30,3,3,2,2,1,1.459614776,yardstick,circuit,"('yardstick', 'NN')","('circuit', 'NN')"
796,6360__stage_6__foreclosure_5,3,2,2,2,2,1.4566370119999998,stage,foreclosure,"('stage', 'NN')","('foreclosure', 'NN')"
799,134__maturity_22__hallmark_18,3,2,2,2,0,1.455507977,maturity,hallmark,"('maturity', 'NN')","('hallmark', 'NN')"
803,920__beer_10__lace_9,3,3,2,2,2,1.454698464,beer,lace,"('beer', 'NN')","('lace', 'NN')"
804,5631__world_25__wickedness_27,3,3,2,2,0,1.454406443,world,wickedness,"('world', 'NN')","('wickedness', 'NN')"
807,6365__foreclosure_6__stage_7,3,2,2,2,1,1.454210386,foreclosure,stage,"('foreclosure', 'NN')","('stage', 'NN')"
811,1367__force_10__masculine_9,3,3,3,1,0,1.4533523130000001,force,masculine,"('force', 'NN')","('masculine', 'NN')"
813,6368__stage_9__foreclosure_8,3,2,2,2,2,1.4516750040000002,stage,foreclosure,"('stage', 'NN')","('foreclosure', 'NN')"
815,3544__sector_18__murder_14,3,3,3,2,2,1.4514889469999999,sector,murder,"('sector', 'NN')","('murder', 'NN')"
817,3492__injection_5__resources_7,3,3,2,2,1,1.451052408,injection,resources,"('injection', 'NN')","('resources', 'NNS')"
820,6666__unity_51__pure_49,3,3,3,1,1,1.449475986,unity,pure,"('unity', 'NN')","('pure', 'NN')"
826,1295__encapsulisation_35__images_38,3,3,3,1,0,1.4460782280000002,encapsulisation,images,"('encapsulisation', 'NN')","('images', 'NNS')"
830,6801__licence_9__freedom_7,3,3,2,2,0,1.4440318859999999,licence,freedom,"('licence', 'NN')","('freedom', 'NN')"
833,7117__elephants_17__clumps_15,3,3,3,2,0,1.442534837,elephants,clumps,"('elephants', 'NNS')","('clumps', 'NNS')"
843,6737__magnetism_26__aspects_23,3,3,2,1,1,1.440668929,magnetism,aspects,"('magnetism', 'NN')","('aspects', 'NNS')"
847,2823__remand_5__centre_6,3,2,2,2,1,1.4390496000000002,remand,centre,"('remand', 'NN')","('centre', 'NN')"
848,6584__practice_74__relocate_72,3,3,2,1,1,1.43880835,practice,relocate,"('practice', 'NN')","('relocate', 'NN')"
849,489__emulate_14__passing_17,3,3,3,2,1,1.438339491,emulate,passing,"('emulate', 'NN')","('passing', 'NN')"
852,5375__infusion_8__blood_11,3,2,2,2,1,1.4372821740000001,infusion,blood,"('infusion', 'NN')","('blood', 'NN')"
856,6150__task_5__synthesis_6,3,3,3,2,0,1.4359395990000001,task,synthesis,"('task', 'NN')","('synthesis', 'NN')"
857,86__supporter_14__cross_7,3,2,2,2,1,1.4359114380000002,supporter,cross,"('supporter', 'NN')","('cross', 'NN')"
858,6858__faculty_8__immature_5,3,3,2,2,0,1.4358296680000002,faculty,immature,"('faculty', 'NN')","('immature', 'NN')"
861,2655__liability_10__form_6,2,2,2,2,2,1.4340875919999998,liability,form,"('liability', 'NN')","('form', 'NN')"
862,1901__block_14__building_11,3,2,2,2,2,1.4340875919999998,block,building,"('block', 'NN')","('building', 'NN')"
870,7033__helm_31__team_28,3,3,2,2,1,1.433160241,helm,team,"('helm', 'NN')","('team', 'NN')"
873,758__watchers_12__generation_9,2,2,2,2,1,1.4303404990000002,watchers,generation,"('watchers', 'NNS')","('generation', 'NN')"
876,1362__norm_25__marks_20,3,3,2,2,1,1.429908435,norm,marks,"('norm', 'NN')","('marks', 'NNS')"
880,1758__pill_39__defence_41,3,2,2,2,1,1.426001584,pill,defence,"('pill', 'NN')","('defence', 'NN')"
882,2862__media_4__blow_8,3,2,2,2,2,1.424871891,media,blow,"('media', 'NNS')","('blow', 'NN')"
885,4648__showrooms_13__swept_9,3,2,2,2,1,1.424090499,showrooms,swept,"('showrooms', 'NNS')","('swept', 'NN')"
886,2981__death_26__walls_24,3,3,3,2,1,1.4238343409999998,death,walls,"('death', 'NN')","('walls', 'NNS')"
904,959__cover_42__bullyboy_40,3,3,3,0,0,1.41448502,cover,bullyboy,"('cover', 'NN')","('bullyboy', 'NN')"
909,5308__poultice_20__manoeuvre_14,3,3,3,3,0,1.411988139,poultice,manoeuvre,"('poultice', 'NN')","('manoeuvre', 'NN')"
922,767__puff_5__dust_7,3,3,2,2,1,1.405299164,puff,dust,"('puff', 'NN')","('dust', 'NN')"
927,1504__considerations_15__stand_18,3,3,2,2,0,1.403397236,considerations,stand,"('considerations', 'NNS')","('stand', 'NN')"
932,2758__sans_5__progress_6,3,3,3,1,0,1.401442651,sans,progress,"('sans', 'NNS')","('progress', 'NN')"
937,7061__speakers_24__regiment_22,3,2,2,2,2,1.399534803,speakers,regiment,"('speakers', 'NNS')","('regiment', 'NN')"
944,7310__cell_6__bare_3,3,3,2,2,1,1.3975251340000001,cell,bare,"('cell', 'NN')","('bare', 'NN')"
950,3492__resources_7__injection_5,3,3,2,2,2,1.3961701919999998,resources,injection,"('resources', 'NNS')","('injection', 'NN')"
957,6676__individual_32__incarnation_33,3,2,2,2,1,1.3945714630000001,individual,incarnation,"('individual', 'NN')","('incarnation', 'NN')"
962,3654__truth_10__elements_8,3,2,2,2,0,1.3940571290000001,truth,elements,"('truth', 'NN')","('elements', 'NNS')"
968,4984__imagination_10__exercise_7,3,2,2,2,0,1.391912812,imagination,exercise,"('imagination', 'NN')","('exercise', 'NN')"
971,1958__sun_42__patch_40,3,3,2,2,1,1.391086192,sun,patch,"('sun', 'NN')","('patch', 'NN')"
974,2774__world_41__silent_40,3,2,2,2,2,1.390972435,world,silent,"('world', 'NN')","('silent', 'NN')"
976,5448__curls_19__cluster_17,3,3,2,2,2,1.389739845,curls,cluster,"('curls', 'NN')","('cluster', 'NN')"
978,710__age_20__victim_16,3,3,2,2,0,1.388563269,age,victim,"('age', 'NN')","('victim', 'NN')"
979,2758__pilgrimage_4__sans_5,3,3,2,1,1,1.388462439,pilgrimage,sans,"('pilgrimage', 'NN')","('sans', 'NNS')"
982,5192__concrete_21__pillbox_22,3,2,2,2,1,1.387616589,concrete,pillbox,"('concrete', 'NN')","('pillbox', 'NN')"
983,5569__leather_17__affair_18,3,3,3,2,0,1.387554189,leather,affair,"('leather', 'NN')","('affair', 'NN')"
